Character,Pinyin,Zhuyin,Definition,ExtendedDefinition
全體,quan2ti3,ㄑㄩㄢˊㄊㄧˇ,Whole,all; entire
活躍,huo2yue4,ㄏㄨㄛˊㄩㄝˋ,active,active; vigorous; lively; enliven
愛好,ai4hao4,ㄞˋㄏㄠˋ,Hobby,hobby; fond of; to like; interest
波動,bo1dong4,ㄅㄛˉㄉㄨㄥˋ,fluctuation,undulate; fluctuate; wave motion
執行,zhi2xing2,ㄓˊㄒㄧㄥˊ,implement,to implement; carry out; execute
獲得,huo4de2,ㄏㄨㄛˋㄉㄜˊ,get,obtain; acquire; to gain
解除,jie3chu2,ㄐㄧㄝˇㄔㄨˊ,Lift,remove; relieve (someone of their duties); reprieve; call off
補充,bu3chong1,ㄅㄨˇㄔㄨㄥˉ,Replenish,replenish; to supplement; to complement
發射,fa1she4,ㄈㄚˉㄕㄜˋ,emission,launch; shoot (a projectile); fire (a rocket)
國會,guo2hui4,ㄍㄨㄛˊㄏㄨㄟˋ,Parliament,parliament; (in the U.S.) Congress; (in Japan) the Diet
玻璃,bo1li5,ㄅㄛˉㄌㄧ˙,Glass,glass
花生,hua1sheng1,ㄏㄨㄚˉㄕㄥˉ,peanut,peanut
登記,deng1ji4,ㄉㄥˉㄐㄧˋ,Register,register (one's name); check in; enroll
大力,da4li4,ㄉㄚˋㄌㄧˋ,vigorously,energetic; vigorously
女性,nv3xing4,nvˇㄒㄧㄥˋ,female,female (sex)
遲早,chi2zao3,ㄔˊㄗㄠˇ,sooner or later,sooner or later
參與,can1yu4,ㄘㄢˉㄩˋ,participate,participate in
整數,zheng3shu4,ㄓㄥˇㄕㄨˋ,Integer,integer; whole number; round figure
喜酒,xi3jiu3,ㄒㄧˇㄐㄧㄡˇ,Jam,liquor drunk at a wedding feast; wedding reception
粉筆,fen3bi3,ㄈㄣˇㄅㄧˇ,chalk,chalk
掌聲,zhang3sheng1,ㄓㄤˇㄕㄥˉ,applause,applause
明確,ming2que4,ㄇㄧㄥˊㄑㄩㄝˋ,clear,clear-cut; clearly; clarify
兼,jian1,ㄐㄧㄢˉ,Both,double; twice; simultaneous; holding two or more (official) posts at the same time
便,bian4,ㄅㄧㄢˋ,Be,plain; convenient; urine or excrement; formal equivalent to 就; cheap
追,zhui1,ㄓㄨㄟˉ,Chase,pursue; chase after; seek; woo
典型,dian3xing2,ㄉㄧㄢˇㄒㄧㄥˊ,typical,typical case;  model; type; typical; representative
創作,chuang4zuo4,ㄔㄨㄤˋㄗㄨㄛˋ,creation,create; to produce; creative work
利,li4,ㄌㄧˋ,profit,advantage; benefit; profit; sharp
崇高,chong2gao1,ㄔㄨㄥˊㄍㄠˉ,Lofty,lofty; sublime
肌肉,ji1rou4,ㄐㄧˉㄖㄡˋ,muscle,muscle; flesh
色彩,se4cai3,ㄙㄜˋㄘㄞˇ,color,tint; color; hue
新娘,xin1niang2,ㄒㄧㄣˉㄋㄧㄤˊ,bride,bride
大致,da4zhi4,ㄉㄚˋㄓˋ,approximately,more or less; roughly; approximately
想不到,xiang3bu5dao4,ㄒㄧㄤˇㄅㄨ˙ㄉㄠˋ,Unexpectedly,unexpected; never expected; hard to imagine
加班,jia1 ban1,ㄐㄧㄚˉ ㄅㄢˉ,work overtime,work overtime; work an extra shift; work extra hours
死亡,si3wang2,ㄙˇㄨㄤˊ,die,to die; death; be dead
月球,yue4qiu2,ㄩㄝˋㄑㄧㄡˊ,Moon,the moon
市民,shi4min2,ㄕˋㄇㄧㄣˊ,Citizen,city resident; townsfolk; urban dweller
天主教,Tian1zhu3jiao4,Tiㄢˉㄓㄨˇㄐㄧㄠˋ,Catholicism,Catholic church; Catholicism
商標,shang1biao1,ㄕㄤˉㄅㄧㄠˉ,trademark,trademark; logo
來回,lai2hui2,ㄌㄞˊㄏㄨㄟˊ,back and forth,make a round trip; return journey
警告,jing3gao4,ㄐㄧㄥˇㄍㄠˋ,warn,warn; admonish
機械,ji1xie4,ㄐㄧˉㄒㄧㄝˋ,mechanical,machinery; machine; mechanical; (old) cunning; scheming
農民,nong2min2,ㄋㄨㄥˊㄇㄧㄣˊ,Farmer,farmer; peasant
農夫,nong2fu1,ㄋㄨㄥˊㄈㄨˉ,farmer,peasant; farmer
普通,pu3tong1,ㄆㄨˇㄊㄨㄥˉ,ordinary,common; ordinary; average
肥皂,fei2zao4,ㄈㄟˊㄗㄠˋ,Soap,soap
因而,yin1'er2,ㄧㄣˉ'ㄦˊ,thus,therefore; as a result; thus
親人,qin1ren2,ㄑㄧㄣˉㄖㄣˊ,Relative,one's close relatives; family members
降價,jiang4 jia4,ㄐㄧㄤˋ ㄐㄧㄚˋ,Reduce prices,price reduction; depreciate
強人,qiang2ren2,ㄑㄧㄤˊㄖㄣˊ,Strong man,strong man; robber; bandit
教學,jiao4xue2,ㄐㄧㄠˋㄒㄩㄝˊ,teaching,education; teach (school)
載,zai4,ㄗㄞˋ,load,carry; to load; to hold year; write down
表揚,biao3yang2,ㄅㄧㄠˇㄧㄤˊ,praise,to praise; commend
分配,fen1pei4,ㄈㄣˉㄆㄟˋ,distribute,distribute; assign; allocate
縫,feng2,ㄈㄥˊ,Sewing,to sew; seam; crack
探,tan4,ㄊㄢˋ,Explore,explore
广泛,guang3fan4,ㄍㄨㄤˇㄈㄢˋ,widely,extensive; wide ranging
天才,tian1cai2,ㄊㄧㄢˉㄘㄞˊ,genius,talent; gift; a genius; talented
登山,deng1shan1,ㄉㄥˉㄕㄢˉ,Climbing,mountain climbing; mountaineering
悲痛,bei1tong4,ㄅㄟˉㄊㄨㄥˋ,Sorrow,grieved; sorrowful
成本,cheng2ben3,ㄔㄥˊㄅㄣˇ,cost,cost (manufacturing production etc.)
造句,zao4 ju4,ㄗㄠˋ ㄐㄩˋ,Sentence,make a sentence
私立,si1li4,ㄙˉㄌㄧˋ,private,private (company school etc.)
憑,ping2,ㄆㄧㄥˊ,Rely on,rely on; lean against; evidence; proof; no matter (what or how); based on
上述,shang4shu4,ㄕㄤˋㄕㄨˋ,Above,above-mentioned; aforementioned
衣裳,yi1shang5,ㄧˉㄕㄤ˙,clothes,clothes
擁抱,yong1bao4,ㄩㄥˉㄅㄠˋ,Embrace,embrace; to hug
待遇,dai4yu4,ㄉㄞˋㄩˋ,treatment,benefits; treatment; pay; wage; salary
防守,fang2shou3,ㄈㄤˊㄕㄡˇ,Defend,to defend; protect; to guard
相親相愛,xiang1qin1xiang1'ai4,ㄒㄧㄤˉㄑㄧㄣˉㄒㄧㄤˉ'ㄞˋ,Love each other,(literally) be kind and love one another; bound by deep emotions
現,xian4,ㄒㄧㄢˋ,now,to appear; to display; present; current; at the time
解答,jie3da2,ㄐㄧㄝˇㄉㄚˊ,answer,to answer; explain; solution (to a math problem)
胡子,hu2zi5,ㄏㄨˊㄗ˙,beard,beard; mustache; facial hair
新式,xin1shi4,ㄒㄧㄣˉㄕˋ,New,new style; new-style; latest type
罪,zui4,ㄗㄨㄟˋ,crime,guilt; crime; sin; hardship; fault; blame
太空,tai4kong1,ㄊㄞˋㄎㄨㄥˉ,Space,outer space
命令,ming4ling4,ㄇㄧㄥˋㄌㄧㄥˋ,Order,an order; a command
具備,ju4bei4,ㄐㄩˋㄅㄟˋ,have,possess; be equipped with
個別,ge4bie2,ㄍㄜˋㄅㄧㄝˊ,individual,individual; specific; isolated; very few
器官,qi4guan1,ㄑㄧˋㄍㄨㄢˉ,organ,organ (of the body); apparatus
占,zhan4,ㄓㄢˋ,Take up,occupy; seize; constitute to divine; fortune telling
占有,zhan4you3,ㄓㄢˋㄧㄡˇ,Possess,have; own; possess; hold; capture; occupy
止,zhi3,ㄓˇ,end,to stop; prohibit; only (Kangxi radical 77)
吞,tun1,ㄊㄨㄣˉ,swallow,to swallow; to take; devour
小子,xiao3zi5,ㄒㄧㄠˇㄗ˙,Little boy,boy; young fellow; (derogatory) chap
足,zu2,ㄗㄨˊ,foot,foot; enough; ample; to be sufficient  (Kangxi radical 157)
黑暗,hei1'an4,ㄏㄟˉ'ㄢˋ,dark,dark; darkly; darkness
暗,an4,ㄢˋ,dark,dark; gloomy; hidden; secret
宴會,yan4hui4,ㄧㄢˋㄏㄨㄟˋ,banquet,banquet; feast; dinner party
繞,rao4,ㄖㄠˋ,Go around,to wind; to coil; move round
陸軍,lu4jun1,ㄌㄨˋㄐㄩㄣˉ,army,army; ground force
業余,ye4yu2,ㄧㄝˋㄩˊ,amateur,spare time; after-hours; amateur
汽油,qi4you2,ㄑㄧˋㄧㄡˊ,gasoline,gasoline; gas; petrol
聘請,pin4qing3,ㄆㄧㄣˋㄑㄧㄥˇ,hire,engage; hire （a lawyer) (invite)
笨重,ben4zhong4,ㄅㄣˋㄓㄨㄥˋ,bulky,heavy; cumbersome; ponderous; unwieldy
砸,za2,ㄗㄚˊ,Smash,to smash; to pound; to break; fail
出事,chu1 shi4,ㄔㄨˉ ㄕˋ,Cause,have an accident; meet with a mishap
鬧,nao4,ㄋㄠˋ,Make trouble,make noise; stir up trouble; disturbance
強度,qiang2du4,ㄑㄧㄤˊㄉㄨˋ,strength,intensity; strength
沙灘,sha1tan1,ㄕㄚˉㄊㄢˉ,Beach,beach; sandy shore
厭惡,yan4wu4,ㄧㄢˋㄨˋ,disgust,to detest; to loathe; to hate; to be disgusted with
公立,gong1li4,ㄍㄨㄥˉㄌㄧˋ,Public,public (school hospital etc.)
廣,guang3,ㄍㄨㄤˇ,wide,wide; extensive; to spread
道路,dao4lu4,ㄉㄠˋㄌㄨˋ,the way,road; path; way
拖,tuo1,ㄊㄨㄛˉ,drag,to drag; to haul; to pull; procrastinate; to tow; to tug
背面,bei4mian4,ㄅㄟˋㄇㄧㄢˋ,back,the back; the reverse side; the wrong side
即使,ji2shi3,ㄐㄧˊㄕˇ,even though,even if; even though
暴躁,bao4zao4,ㄅㄠˋㄗㄠˋ,irritable,irritable
反抗,fan3kang4,ㄈㄢˇㄎㄤˋ,Resist,to resist; to revolt; to rebel; resistance
信仰,xin4yang3,ㄒㄧㄣˋㄧㄤˇ,Belief,firm belief; faith; believe in (a religion)
黑夜,hei1ye4,ㄏㄟˉㄧㄝˋ,Album,night
正月,zheng1yue4,ㄓㄥˉㄩㄝˋ,First month,the first month of the lunar calendar
面對,mian4dui4,ㄇㄧㄢˋㄉㄨㄟˋ,face,to face; confront
首都,shou3du1,ㄕㄡˇㄉㄨˉ,capital,capital (city)
單調,dan1diao4,ㄉㄢˉㄉㄧㄠˋ,monotonous,monotonous; dull
系列,xi4lie4,ㄒㄧˋㄌㄧㄝˋ,series,series; a set
在乎,zai4hu5,ㄗㄞˋㄏㄨ˙,care,care about; be determined by; to mind
唯一,wei2yi1,ㄨㄟˊㄧˉ,only,only; sole
放學,fang4xue2,ㄈㄤˋㄒㄩㄝˊ,School,dismiss from school; after school
工程,gong1cheng2,ㄍㄨㄥˉㄔㄥˊ,project,engineering; engineering project
機票,ji1piao4,ㄐㄧˉㄆㄧㄠˋ,Air tickets,plane ticket
塞,sai1,ㄙㄞˉ,Plug,stop up; to stuff obstruct
高度,gao1du4,ㄍㄠˉㄉㄨˋ,high,height; altitude; high degree; apogee
章,zhang1,ㄓㄤˉ,chapter,chapter; section; literary work; seal
記載,ji4zai3,ㄐㄧˋㄗㄞˇ,Record,write down; to record; written record
富,fu4,ㄈㄨˋ,rich,wealthy
砲,pao4,ㄆㄠˋ,gun,cannon
球隊,qiu2dui4,ㄑㄧㄡˊㄉㄨㄟˋ,team,ball team; sports team
伯母,bo2mu3,ㄅㄛˊㄇㄨˇ,aunt,aunt; wife of father's older brother
握,wo4,ㄨㄛˋ,grip,grasp; shake hands; to hold
潮流,chao2liu2,ㄔㄠˊㄌㄧㄡˊ,trend,tide; current; trend
竹子,zhu2zi5,ㄓㄨˊㄗ˙,bamboo,bamboo
形式,xing2shi4,ㄒㄧㄥˊㄕˋ,form,form; shape; mode
儘力,jin4li4,ㄐㄧㄣˋㄌㄧˋ,Do their best,do one's best; strive
黏,nian2,ㄋㄧㄢˊ,sticky,sticky; glutinous; to adhere; to stick
復制,fu4zhi4,ㄈㄨˋㄓˋ,copy,duplicate; reproduce; copy
塌,ta1,ㄊㄚˉ,collapse,collapse; fall down; crumple
合得來,he2de5lai2,ㄏㄜˊㄉㄜ˙ㄌㄞˊ,hit it off,get along well; compatible
粘,zhan1,ㄓㄢˉ,stick,to stick; to paste surname; (variant of 黏) sticky; glutinous
小便,xiao3bian4,ㄒㄧㄠˇㄅㄧㄢˋ,Urinating,urinate; urine
空中,kong1zhong1,ㄎㄨㄥˉㄓㄨㄥˉ,Air,in the sky; in the air
買單,mai3dan1,ㄇㄞˇㄉㄢˉ,Pay,to pay the restaurant bill
瘋,feng1,ㄈㄥˉ,Crazy,insane; crazy; mad
脾气,pi2qi5,ㄆㄧˊㄑㄧ˙,temper,temperament; disposition; temper; bad temper
屆,jie4,ㄐㄧㄝˋ,Session,arrive at; period; session; (mw for events; meetings; etc.); fall due
門診,men2zhen3,ㄇㄣˊㄓㄣˇ,Outpatient clinic,outpatient service; clinic
棉,mian2,ㄇㄧㄢˊ,cotton,cotton or kapok
外頭,wai4tou5,ㄨㄞˋㄊㄡ˙,Outside,outside; outdoors
防止,fang2zhi3,ㄈㄤˊㄓˇ,prevent,prevent; guard against; take precautions; forestall; avoid
看來,kan4lai2,ㄎㄢˋㄌㄞˊ,Seem,apparently; it seems; it appears
噸,dun1,ㄉㄨㄣˉ,Ton,ton
測試,ce4shi4,ㄘㄜˋㄕˋ,test,test; trial; examine; beta (software)
繩子,sheng2zi5,ㄕㄥˊㄗ˙,rope,cord; string; rope
內行,nei4hang2,ㄋㄟˋㄏㄤˊ,expert,expert; experienced
操作,cao1zuo4,ㄘㄠˉㄗㄨㄛˋ,operate,operate; manipulate; to handle
緊急,jin3ji2,ㄐㄧㄣˇㄐㄧˊ,urgent,urgent; pressing; critical; emergency
分手,fen1shou3,ㄈㄣˉㄕㄡˇ,separate,to part company; to separate; to break up
箱,xiang1,ㄒㄧㄤˉ,box,box; trunk; chest
擁護,yong1hu4,ㄩㄥˉㄏㄨˋ,support,to support; endorse
行業,hang2ye4,ㄏㄤˊㄧㄝˋ,industry,industry; trade; profession
跳遠,tiao4yuan3,ㄊㄧㄠˋㄩㄢˇ,long jump,{athletics} long jump
薄,bao2,ㄅㄠˊ,Thin,thin; flimsy; weak (first two pronunciations) mint
上台,shang4 tai2,ㄕㄤˋ ㄊㄞˊ,Take the stage,rise to authority; go up on stage
意願,yi4yuan4,ㄧˋㄩㄢˋ,Aspiration,aspiration; wish (for); desire
祕書,mi4shu1,ㄇㄧˋㄕㄨˉ,secretary,secretary (variant of 秘书)
丁,ding1,ㄉㄧㄥˉ,Ding,fourth; male adult; robust; cubes (of food); T-shaped; (4th Heavenly Stem) nail (primitive form)
海外,hai3wai4,ㄏㄞˇㄨㄞˋ,overseas,overseas; abroad
銅,tong2,ㄊㄨㄥˊ,copper,copper
球鞋,qiu2xie2,ㄑㄧㄡˊㄒㄧㄝˊ,sneakers,sneakers; tennis shoes
領先,ling3xian1,ㄌㄧㄥˇㄒㄧㄢˉ,Lead,leadership; to lead; be in front
愛人,ai4ren5,ㄞˋㄖㄣ˙,spouse,spouse; husband; wife; lover
感到,gan3dao4,ㄍㄢˇㄉㄠˋ,feel,feel; to sense; have the feeling that
商場,shang1chang3,ㄕㄤˉㄔㄤˇ,shopping mall,market; bazaar; shopping mall
中藥,zhong1yao4,ㄓㄨㄥˉㄧㄠˋ,traditional Chinese medicine,traditional Chinese medicine
敲,qiao1,ㄑㄧㄠˉ,knock,knock; to strike; extort
小費,xiao3fei4,ㄒㄧㄠˇㄈㄟˋ,tip,tip; gratuity
風險,feng1xian3,ㄈㄥˉㄒㄧㄢˇ,risk,risk; hazard
具,ju4,ㄐㄩˋ,Tool,tool; instrument; have
沉,chen2,ㄔㄣˊ,Sink,submerge; sink; deep; heavy
普及,pu3ji2,ㄆㄨˇㄐㄧˊ,universal,widespread; popular; disseminate; to spread
與其,yu3qi2,ㄩˇㄑㄧˊ,Instead of,rather than; better than
初步,chu1bu4,ㄔㄨˉㄅㄨˋ,Preliminary,initial; preliminary; tentative
大哥大,da4ge1da4,ㄉㄚˋㄍㄜˉㄉㄚˋ,Big brother,cellular phone (old usage)
高峰,gao1feng1,ㄍㄠˉㄈㄥˉ,peak,peak; summit; apex
婦女,fu4nv3,ㄈㄨˋnvˇ,Woman,woman; women in general
震動,zhen4dong4,ㄓㄣˋㄉㄨㄥˋ,shock,to shake; to shock; vibrate
蜜蜂,mi4feng1,ㄇㄧˋㄈㄥˉ,bee,bee; honeybee
茶會,cha2 hui4,ㄔㄚˊ ㄏㄨㄟˋ,tea party,tea party
論文,lun4wen2,ㄌㄨㄣˋㄨㄣˊ,paper,thesis; paper; treatise
民間,min2jian1,ㄇㄧㄣˊㄐㄧㄢˉ,folk,among the people; popular; folk
奪,duo2,ㄉㄨㄛˊ,Seize,to rob; to snatch; seize
上市,shang4shi4,ㄕㄤˋㄕˋ,Go on the market,(said of seasonal goods or new products) go on the market; (of a company) to become listed
擁擠,yong1ji3,ㄩㄥˉㄐㄧˇ,Crowded,to push; to squeeze;  crowded; packed
幢,zhuang4,ㄓㄨㄤˋ,Building,(mw for houses buildings); tent ancient pennant or streamer; Buddhist stone pillar
重量,zhong4liang4,ㄓㄨㄥˋㄌㄧㄤˋ,weight,weight
緩慢,huan3man4,ㄏㄨㄢˇㄇㄢˋ,slow,slow
提起,ti2qi3,ㄊㄧˊㄑㄧˇ,Lift,to mention; to speak of
遭遇,zao1yu4,ㄗㄠˉㄩˋ,encounter,befall; suffer; encounter
倍,bei4,ㄅㄟˋ,Double,(two three etc)-fold; times (multiplier)
加以,jia1yi3,ㄐㄧㄚˉㄧˇ,Be,(used before polysyllabic verb to indicate action directed towards sth. or sb. mentioned earlier); in addition; plus
敬酒,jing4 jiu3,ㄐㄧㄥˋ ㄐㄧㄡˇ,Bading,propose a toast; to toast
措施,cuo4shi1,ㄘㄨㄛˋㄕˉ,measure,measure; step (to be taken)
緩和,huan3he2,ㄏㄨㄢˇㄏㄜˊ,Relax,alleviate; to moderate; to ease (tension)
男性,nan2xing4,ㄋㄢˊㄒㄧㄥˋ,male,male; man
插花,cha1hua1,ㄔㄚˉㄏㄨㄚˉ,Flower arrangement,flower arranging
降,jiang4,ㄐㄧㄤˋ,drop,to drop; to fall to surrender
批,pi1,ㄆㄧˉ,Criticize,criticize; to comment; wholesale; (mw for batches lots etc.)
清淡,qing1dan4,ㄑㄧㄥˉㄉㄢˋ,Light,light (of food); insipid; slack (sales)
諒解,liang4jie3,ㄌㄧㄤˋㄐㄧㄝˇ,understanding,understanding; make an allowance for; forgive
嫁,jia4,ㄐㄧㄚˋ,marry,marry (a husband); take a husband; marry off a daughter
可笑,ke3xiao4,ㄎㄜˇㄒㄧㄠˋ,ridiculous,laughable; funny; ridiculous; absurd
佔,zhan4,ㄓㄢˋ,Take up,occupy; seize; constitute
广大,guang3da4,ㄍㄨㄤˇㄉㄚˋ,Vast,vast; extensive
壞蛋,huai4dan4,ㄏㄨㄞˋㄉㄢˋ,Bad guy,rotten egg; bad person; scoundrel; villain
拜,bai4,ㄅㄞˋ,bye,pay respect; pay a visit to; worship
帶子,dai4zi5,ㄉㄞˋㄗ˙,tape,band; belt
多謝,duo1xie4,ㄉㄨㄛˉㄒㄧㄝˋ,Thank you,many thanks
對付,dui4fu5,ㄉㄨㄟˋㄈㄨ˙,Deal,to handle; deal with
活力,huo2li4,ㄏㄨㄛˊㄌㄧˋ,vitality,energy; vitality; vigor
模型,mo2xing2,ㄇㄛˊㄒㄧㄥˊ,Model,model; pattern
老大,lao3da4,ㄌㄠˇㄉㄚˋ,Boss,the oldest (among siblings); old age; captain of a boat; leader of a group
難以,nan2yi3,ㄋㄢˊㄧˇ,difficult,hard to; difficult to
次數,ci4shu4,ㄘˋㄕㄨˋ,frequency,frequency; number of times; order number
膨脹,peng2zhang4,ㄆㄥˊㄓㄤˋ,Swelling,inflate; expand
彎,wan1,ㄨㄢˉ,bend,curved; bend
橫,heng2,ㄏㄥˊ,horizontal,horizontal; across; (horizontal character stroke) harsh; unexpected
報答,bao4da2,ㄅㄠˋㄉㄚˊ,repay,repay; requite
印,yin4,ㄧㄣˋ,print,to print; to stamp; engrave; to mark
失業,shi1 ye4,ㄕˉ ㄧㄝˋ,unemployment,lose one's job; unemployment
社團,she4tuan2,ㄕㄜˋㄊㄨㄢˊ,Community,organization; club
子女,zi3nv3,ㄗˇnvˇ,child,sons and daughters; children
資訊,zi1xun4,ㄗˉㄒㄩㄣˋ,News,information
燃燒,ran2shao1,ㄖㄢˊㄕㄠˉ,combustion,combustion; burn; kindle
設立,she4li4,ㄕㄜˋㄌㄧˋ,set up,set up; establish
呈現,cheng2xian4,ㄔㄥˊㄒㄧㄢˋ,Present,appear; emerge; present
鮮奶,xian1nai3,ㄒㄧㄢˉㄋㄞˇ,Fresh milk,fresh milk
原料,yuan2liao4,ㄩㄢˊㄌㄧㄠˋ,raw material,raw material; ingredients
活潑,huo2po5,ㄏㄨㄛˊㄆㄛ˙,Lively,lively; vivacious
惹,re3,ㄖㄜˇ,provoke,cause (something bad) to happen; to provoke
補課,bu3 ke4,ㄅㄨˇ ㄎㄜˋ,Make up for lessons,make up supplement  or redo a lesson
肝,gan1,ㄍㄢˉ,liver,liver
挑,tiao1,ㄊㄧㄠˉ,pick,to choose; to pick; picky; to carry on a pole; to raise; to incite
后代,hou4dai4,ㄏㄡˋㄉㄞˋ,Descendants,posterity; later generations; descendants
軍,Jun1,ㄐㄩㄣˉ,military,army; military; arms
加工,jia1gong1,ㄐㄧㄚˉㄍㄨㄥˉ,Process,to process; processing; machining
順序,shun4xu4,ㄕㄨㄣˋㄒㄩˋ,order,sequence; order
保衛,bao3wei4,ㄅㄠˇㄨㄟˋ,defend,defend; to safeguard
耗,hao4,ㄏㄠˋ,Consume,consume; cost; spend; waste time; dawdle
字母,zi4mu3,ㄗˋㄇㄨˇ,letter,letter (of the alphabet)
賽跑,sai4pao3,ㄙㄞˋㄆㄠˇ,race,running race
操心,cao1xin1,ㄘㄠˉㄒㄧㄣˉ,worry,worry about; trouble over; be concerned
辣椒,la4jiao1,ㄌㄚˋㄐㄧㄠˉ,chili,hot pepper; chili
遇見,yu4 jian4,ㄩˋ ㄐㄧㄢˋ,meet,meet; run into
對抗,dui4kang4,ㄉㄨㄟˋㄎㄤˋ,confrontation,withstand; resist; antagonize
構造,gou4zao4,ㄍㄡˋㄗㄠˋ,structure,structure; construction
利潤,li4run4,ㄌㄧˋㄖㄨㄣˋ,profit,profit
公式,gong1shi4,ㄍㄨㄥˉㄕˋ,formula,formula
用具,yong4ju4,ㄩㄥˋㄐㄩˋ,Utensil,appliance; utensil; tool
干什麼,gan4 shen2me5,ㄍㄢˋ ㄕㄣˊㄇㄜ˙,What to do,what are you doing?; what's he/she up to?
嘗嘗,chang2chang5,ㄔㄤˊㄔㄤ˙,Try,have a taste
化學,hua4xue2,ㄏㄨㄚˋㄒㄩㄝˊ,Chemical,chemistry
修正,xiu1zheng4,ㄒㄧㄡˉㄓㄥˋ,Revise,revise; revision; amend
獎金,jiang3jin1,ㄐㄧㄤˇㄐㄧㄣˉ,bonus,bonus; award money
反正,fan3zheng4,ㄈㄢˇㄓㄥˋ,Anyway,anyway
漲價,zhang3 jia4,ㄓㄤˇ ㄐㄧㄚˋ,Price increase,appreciate (in value); increase in price
連接,lian2jie1,ㄌㄧㄢˊㄐㄧㄝˉ,connect,to join; to link; to connect; to attach; connection; a link (on web page)
四方,si4fang1,ㄙˋㄈㄤˉ,Square,four-way; four sided; all directions
打擾,da3rao3,ㄉㄚˇㄖㄠˇ,disturb,disturb
反對,fan3dui4,ㄈㄢˇㄉㄨㄟˋ,be opposed to,oppose; fight against
失敗,shi1bai4,ㄕˉㄅㄞˋ,fail,be defeated; fail; lose
開除,kai1chu2,ㄎㄞˉㄔㄨˊ,Dismiss,expel; to discharge; to kick out
糧食,liang2shi5,ㄌㄧㄤˊㄕ˙,food,grain; food; cereals
戰場,zhan4chang3,ㄓㄢˋㄔㄤˇ,battlefield,battlefield
味,wei4,ㄨㄟˋ,taste,taste; flavour; odour
味兒,wei4r5,ㄨㄟˋr˙,Taste,taste; flavor; smell
野獸,ye3shou4,ㄧㄝˇㄕㄡˋ,Beast,beast; wild animal
視,shi4,ㄕˋ,See,look at; regard; inspect
后果,hou4guo3,ㄏㄡˋㄍㄨㄛˇ,as a result of,consequences; aftermath
頂,ding3,ㄉㄧㄥˇ,top,top; roof; (measure word for headwear); crest
贈品,zeng4pin3,ㄗㄥˋㄆㄧㄣˇ,Gift,(complimentary) gift; giveaway; freebie
懶得,lan3de5,ㄌㄢˇㄉㄜ˙,Be too lazy,not feel like (doing sth.); be disinclined to
還有,hai2you3,ㄏㄞˊㄧㄡˇ,and also,in addition; also; furthermore
稱,cheng1,ㄔㄥˉ,say,to call; to name; to state; to praise appropriate; to suit; to weigh
淘气,tao2qi4,ㄊㄠˊㄑㄧˋ,naughty,naughty; bad; mischievous
削減,xue1jian3,ㄒㄩㄝˉㄐㄧㄢˇ,reduce,cut down; reduce; lower
含量,han2liang4,ㄏㄢˊㄌㄧㄤˋ,content,content; quantity contained
扣,kou4,ㄎㄡˋ,buckle,fasten; button; discount; put upside down; buckle
改正,gai3zheng4,ㄍㄞˇㄓㄥˋ,correct,to correct; to amend; to put right; correction
三角形,san1jiao3xing2,ㄙㄢˉㄐㄧㄠˇㄒㄧㄥˊ,triangle,triangle
簽訂,qian1ding4,ㄑㄧㄢˉㄉㄧㄥˋ,Sign,agree to and sign (a treaty etc.)
動作,dong4zuo4,ㄉㄨㄥˋㄗㄨㄛˋ,action,movement; motion; action
叫喊,jiao4han3,ㄐㄧㄠˋㄏㄢˇ,shouting,exclamation; outcry; shout; yell
產業,chan3ye4,ㄔㄢˇㄧㄝˋ,industry,industry; estate; property
歪,wai1,ㄨㄞˉ,crooked,askew; crooked; devious; recline to take a rest (colloquial)
盯,ding1,ㄉㄧㄥˉ,stare,to stare; to gaze
吵鬧,chao3nao4,ㄔㄠˇㄋㄠˋ,noisy,noisy; wrangle; harass
交往,jiao1wang3,ㄐㄧㄠˉㄨㄤˇ,Exchanges,associate (with); have contact (with); to date
初級,chu1ji2,ㄔㄨˉㄐㄧˊ,primary,junior; primary
抄,chao1,ㄔㄠˉ,copy,to copy; plagiarize; search and confiscate
伯父,bo2fu4,ㄅㄛˊㄈㄨˋ,uncle,uncle; father's elder brother
大自然,da4zi4ran2,ㄉㄚˋㄗˋㄖㄢˊ,Nature,nature (as in Mother Nature)
供應,gong1ying4,ㄍㄨㄥˉㄧㄥˋ,supply,to supply; provide; offer
農場,nong2chang3,ㄋㄨㄥˊㄔㄤˇ,farm,farm
肥胖,fei2pang4,ㄈㄟˊㄆㄤˋ,obesity,fat; obese
自願,zi4yuan4,ㄗˋㄩㄢˋ,Volunteer,voluntary; of one's own accord; of one's own free will
對策,dui4ce4,ㄉㄨㄟˋㄘㄜˋ,Countermeasure,countermeasure for dealing with a situation
布告,bu4gao4,ㄅㄨˋㄍㄠˋ,notice,notice; bulletin
走私,zou3si1,ㄗㄡˇㄙˉ,smuggling,smuggle; have an illicit affair
花色,hua1se4,ㄏㄨㄚˉㄙㄜˋ,Color,(variety of) designs and colors
市立,shi4li4,ㄕˋㄌㄧˋ,Municipal,municipal
主觀,zhu3guan1,ㄓㄨˇㄍㄨㄢˉ,subjective,subjective
銷售,xiao1shou4,ㄒㄧㄠˉㄕㄡˋ,Sales,to sell; to market; sales
搖擺,yao2bai3,ㄧㄠˊㄅㄞˇ,swing,to waver; to wag; to sway
